# Monthly average of flow of Nile in m^3/s
# year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, yearly average
1919,1247,863,750,810,825,891,1530,6197,8024,4704,2249,1120,2434.17
1920,985,754,619,621,701,1165,2150,6795,6867,5600,3449,1426,2594.33
1921,1120,884,713,690,705,814,1284,5749,7561,5525,2735,1202,2415.17
1922,1116,818,574,555,563,709,1392,7019,9104,5936,3144,1273,2683.58
1923,1011,917,589,586,776,1273,1646,7504,8256,6048,2754,1441,2733.42
1924,1127,969,713,679,787,972,2090,6720,8603,5339,3078,1676,2729.42
1925,929,992,705,663,772,1003,1545,4965,6365,4629,1786,1303,2138.08
1926,1157,905,616,659,873,1215,1863,7019,7908,5376,3086,1314,2665.92
1927,1045,1136,731,694,840,1018,1683,5712,7060,4965,1705,1086,2306.25
1928,813,702,601,644,884,1141,2482,6683,7677,4592,2465,1261,2495.42
1929,1034,921,735,721,914,1435,3517,8549,9413,6645,3699,1310,3241.08
1930,1235,1132,795,756,940,1084,1758,6645,6751,4368,1358,1191,2334.42
1931,884,727,724,659,664,779,1149,5787,8179,5525,3024,1157,2438.17
1932,1019,806,772,636,817,1080,1631,6907,8796,5861,2723,1149,2683.08
1933,1310,1359,1008,767,963,1168,1377,4741,8526,5637,2831,1609,2608
1934,1303,1128,884,790,974,1238,2411,7541,9143,5749,2330,1261,2896
1935,1310,1128,899,844,1135,1616,2938,7840,9220,6496,1929,1336,3057.58
1936,1276,1069,896,844,1157,1408,2240,6981,9182,5339,1736,1303,2785.92
1937,1101,930,851,767,907,1222,1743,7280,8526,4629,1230,1351,2544.75
1938,1205,946,866,779,1034,1307,1728,8400,10841,7205,2476,1336,3176.92
1939,1288,1260,937,852,1217,1585,1907,4928,7021,3920,2044,1549,2375.67
1940,1176,937,862,798,1112,1307,1478,5600,6905,2900,1107,896,2089.83
1941,817,880,776,752,985,1392,1751,4442,5478,3195,2087,1527,2006.83
1942,993,1012,884,956,1247,1558,2102,7504,7754,5189,1257,1101,2629.75
1943,933,1029,825,918,1157,1304,1478,5451,9413,4480,1774,1381,2511.92
1944,1045,1073,929,879,1183,1558,1900,6160,6905,3535,1161,1217,2295.42
1945,881,1058,791,856,1041,1527,1698,5525,7253,5525,1859,1754,2480.67
1946,1433,1054,881,891,791,516,2288,9371,10725,5899,3510,2232,3299.25
1947,1650,1438,1187,972,1034,1099,1183,5563,8680,5600,2527,1732,2722.08
1948,1385,1177,937,914,869,590,2027,6197,7445,5861,3777,1937,2759.67
1949,1347,1169,910,925,937,733,1523,6757,7870,5339,2889,1807,2683.83
1950,1441,1198,933,922,944,879,1721,7765,8680,5525,2550,1665,2851.92
1951,1265,925,847,902,802,455,1064,5749,6867,4480,3005,1844,2350.42
1952,1224,949,1000,810,601,652,1198,5563,8140,4666,2407,1385,2382.92
1953,1041,781,813,929,597,563,1441,8213,8024,5189,2442,1538,2630.92
1954,1071,756,952,875,679,455,2102,9259,10918,7653,3298,1885,3325.25
1955,1426,1120,776,879,929,841,1612,7168,8757,6720,2858,1709,2899.58
1956,1336,1117,877,891,840,914,2158,7355,7986,6869,4783,2150,3106.33
1957,1489,1285,888,1014,1123,1141,1661,6571,8256,3703,1886,1261,2523.17
1958,955,764,776,829,634,501,1866,1866,9452,5861,3244,1818,2380.5
1959,1280,1000,840,933,873,625,1258,6981,11419,6197,3730,1900,3086.33
1960,1164,886,832,964,933,694,1672,6496,7870,5040,2071,1172,2482.83
1961,952,1149,862,1003,757,582,2445,8661,10339,6496,2916,1836,3166.5
1962,1370,1140,966,1153,1112,1242,1866,6496,8719,5787,2249,1500,2800
1963,1250,1165,955,1087,1213,1385,2609,8251,7600,3957,1882,1702,2754.67
1964,1605,1293,1067,1041,1355,1581,2956,9296,9915,6123,3645,2184,3505.08
1965,2146,2099,1639,1381,1556,1743,2172,5525,6018,4106,2546,1833,2730.33
1966,1467,1248,948,1238,1325,1199,2079,4778,6751,2721,1724,1691,2264.08
1967,1736,1366,787,1151,1238,1168,2199,7430,8506,5196,2407,1967,2929.25
1968,1527,1365,1076,1215,1215,1152,2615,6655,4398,3715,1770,1377,2340
1969,1102,948,983,1481,1412,991,2199,7384,6712,2337,1527,1250,2360.5
1970,1215,1064,800,1342,1192,848,1284,7280,8009,3402,1875,1400,2475.92
